   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  -1.2002745e+00   2.2345198e+00   2.2474487e+00  -2.2345198e+00   1.2002745e+00  -2.2474487e+00   2.9289322e-03  -2.2445198e+00   2.2415908e+00  -2.2445198e+00   2.9289322e-03   2.2415908e+00  -1.2112034e+00  -4.4928974e+00  -4.4928974e+00   4.4928974e+00   1.2112034e+00   4.4928974e+00
  -2.0986974e+00   3.9076675e+00   3.9331816e+00  -3.9076675e+00   2.0986974e+00  -3.9331816e+00   5.8363706e-03  -3.9273159e+00   3.9214796e+00  -3.9273159e+00   5.8363706e-03   3.9214796e+00  -2.1204491e+00  -7.8625240e+00  -7.8622573e+00   7.8625240e+00   2.1204491e+00   7.8622573e+00
  -2.5291244e+00   4.7105181e+00   4.7484297e+00  -4.7105181e+00   2.5291244e+00  -4.7484297e+00   8.7850595e-03  -4.7394576e+00   4.7306726e+00  -4.7394576e+00   8.7850595e-03   4.7306726e+00  -2.5618605e+00  -9.4911083e+00  -9.4900948e+00   9.4911083e+00   2.5618605e+00   9.4900948e+00
  -2.4276355e+00   4.5241131e+00   4.5742051e+00  -4.5241131e+00   2.4276355e+00  -4.5742051e+00   1.1760081e-02  -4.5618115e+00   4.5500514e+00  -4.5618115e+00   1.1760081e-02   4.5500514e+00  -2.4714939e+00  -9.1401286e+00  -9.1377765e+00   9.1401286e+00   2.4714939e+00   9.1377765e+00
  -1.8402203e+00   3.4337042e+00   3.4956392e+00  -3.4337042e+00   1.8402203e+00  -3.4956392e+00   1.4703876e-02  -3.4794261e+00   3.4647222e+00  -3.4794261e+00   1.4703876e-02   3.4647222e+00  -1.8950340e+00  -6.9791947e+00  -6.9749411e+00   6.9791947e+00   1.8950340e+00   6.9749411e+00
  -9.0802218e-01   1.7013775e+00   1.7747007e+00  -1.7013775e+00   9.0802218e-01  -1.7747007e+00   1.7558846e-02  -1.7542987e+00   1.7367398e+00  -1.7542987e+00   1.7558846e-02   1.7367398e+00  -9.7316588e-01  -3.5317877e+00  -3.5252358e+00   3.5317877e+00   9.7316588e-01   3.5252358e+00
   1.6576500e-01  -2.9534595e-01  -2.1116428e-01   2.9534595e-01  -1.6576500e-01   2.1116428e-01   2.0288742e-02   2.3596246e-01  -2.5625120e-01   2.3596246e-01   2.0288742e-02  -2.5625120e-01   9.1316274e-02   4.4716698e-01   4.5615134e-01  -4.4716698e-01  -9.1316274e-02  -4.5615134e-01
   1.1597775e+00  -2.1449379e+00  -2.0504693e+00   2.1449379e+00  -1.1597775e+00   2.0504693e+00   2.2874480e-02   2.0795899e+00  -2.1024644e+00   2.0795899e+00   2.2874480e-02  -2.1024644e+00   1.0771689e+00   4.1339709e+00   4.1452288e+00  -4.1339709e+00  -1.0771689e+00  -4.1452288e+00
   1.8797937e+00  -3.4860201e+00  -3.3818753e+00   3.4860201e+00  -1.8797937e+00   3.3818753e+00   2.5297668e-02   3.4148899e+00  -3.4401875e+00   3.4148899e+00   2.5297668e-02  -3.4401875e+00   1.7898723e+00   6.8044746e+00   6.8175903e+00  -6.8044746e+00  -1.7898723e+00  -6.8175903e+00
   2.1963160e+00  -4.0772649e+00  -3.9641113e+00   4.0772649e+00  -2.1963160e+00   3.9641113e+00   2.7529481e-02   4.0002218e+00  -4.0277513e+00   4.0002218e+00   2.7529481e-02  -4.0277513e+00   2.0992238e+00   7.9740562e+00   7.9884489e+00  -7.9740562e+00  -2.0992238e+00  -7.9884489e+00
